Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Heat_Rate_MMBTU_per_MWh_2,PWFU_Heat_Rate_MMBTU_per_MWh_3,PWFU_Load_Point_MW_1,PWFU_Load_Point_MW_2,PWFU_Load_Point_MW_3,region,cluster
313_CC_1,61,1,1,0,355,-1,0,65400,332880,2.08,7934,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,4047,6883,8683,0.65258216,0.82629108,1,CA,3
315_STEAM_1,63,1,1,0,12,-1,0,65400,219000,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_2,63,1,1,0,12,-1,0,65400,219000,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_3,63,1,1,0,12,-1,0,65400,219000,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_4,63,1,1,0,12,-1,0,65400,219000,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_STEAM_5,63,1,1,0,12,-1,0,65400,219000,6.94,14410,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,7289,9701,11991,0.611111111,0.805555556,1,CA,3
315_CT_6,63,1,1,0,55,-1,0,65400,332880,2.08,10342,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6792,6919,8195,0.6,0.8,1,CA,3
315_CT_7,63,1,1,0,55,-1,0,65400,332880,2.08,10342,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6792,6919,8195,0.6,0.8,1,CA,3
315_CT_8,63,1,1,0,55,-1,0,65400,332880,2.08,10342,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6792,6919,8195,0.6,0.8,1,CA,3
316_STEAM_1,64,1,1,0,155,-1,0,65400,1080108,14.2,11846,Coal,250,91,7437.5,8,8,1.161290323,1.161290323,62,0.03333333,0.06666667,0,0,400,9989,10070,12902,0.6,0.8,1,CA,3
318_CC_1,66,1,1,0,355,-1,0,65400,332880,2.08,7952,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6906,7017,8111,0.65258216,0.82629108,1,CA,3
321_CC_1,69,1,1,0,355,-1,0,65400,332880,2.08,7227,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5848,6665,8733,0.65258216,0.82629108,1,CA,3
322_CT_5,70,1,1,0,55,-1,0,65400,332880,2.08,12064,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6003,6817,7176,0.6,0.8,1,CA,3
322_CT_6,70,1,1,0,55,-1,0,65400,332880,2.08,12064,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6003,6817,7176,0.6,0.8,1,CA,3
323_CC_1,71,1,1,0,355,-1,0,65400,332880,2.08,7381,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6799,7789,8162,0.65258216,0.82629108,1,CA,3
323_CC_2,71,1,1,0,355,-1,0,65400,332880,2.08,7381,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6799,7789,8162,0.65258216,0.82629108,1,CA,3
101_CT_1,1,1,1,0,20,-1,0,65400,219000,6.94,13114,Oil,250,91,5,1,1,9,9,8,0.25,0.5,0,0,400,9456,9476,10352,0.6,0.8,1,UT,1
101_CT_2,1,1,1,0,20,-1,0,65400,219000,6.94,13114,Oil,250,91,5,1,1,9,9,8,0.13333272,0.26666544,0,0,400,9456,9476,10352,0.6,0.8,1,UT,1
101_STEAM_3,1,1,1,0,76,-1,0,65400,1080108,14.2,13270,Coal,250,91,4861.4,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,6713,8028,8549,0.59649123,0.79824561,1,UT,1
101_STEAM_4,1,1,1,0,76,-1,0,65400,1080108,14.2,13270,Coal,250,91,4861.4,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,6713,8028,8549,0.59649123,0.79824561,1,UT,1
102_CT_1,2,1,1,0,20,-1,0,65400,219000,6.94,14639,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8597,9147,9622,0.6,0.8,1,UT,1
102_CT_2,2,1,1,0,20,-1,0,65400,219000,6.94,14639,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8597,9147,9622,0.6,0.8,1,UT,1
102_STEAM_3,2,1,1,0,76,-1,0,65400,1080108,14.2,11591,Coal,250,91,4861.4,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,8734,9861,10651,0.59649123,0.79824561,1,UT,1
102_STEAM_4,2,1,1,0,76,-1,0,65400,1080108,14.2,11591,Coal,250,91,4861.4,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,8734,9861,10651,0.59649123,0.79824561,1,UT,1
107_CC_1,7,1,1,0,355,-1,0,65400,332880,2.08,7222,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5970,6892,7854,0.65258216,0.82629108,1,UT,1
113_CT_1,13,1,1,0,55,-1,0,65400,332880,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1
113_CT_2,13,1,1,0,55,-1,0,65400,332880,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1
113_CT_3,13,1,1,0,55,-1,0,65400,332880,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1
113_CT_4,13,1,1,0,55,-1,0,65400,332880,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1
115_STEAM_1,15,1,1,0,12,-1,0,65400,219000,6.94,17340,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,12030,12083,12913,0.61111111,0.80555556,1,UT,1
115_STEAM_2,15,1,1,0,12,-1,0,65400,219000,6.94,17340,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,12030,12083,12913,0.61111111,0.80555556,1,UT,1
115_STEAM_3,15,1,1,0,155,-1,0,65400,1080108,14.2,11446,Coal,250,91,7437.5,8,8,1.16129032,1.16129032,62,0.03333333,0.06666667,0,0,400,9650,10640,12796,0.6,0.8,1,UT,1
116_STEAM_1,16,1,1,0,155,-1,0,65400,1080108,14.2,13238,Coal,250,91,7437.5,8,8,1.16129032,1.16129032,62,0.03333333,0.06666667,0,0,400,9312,10158,11294,0.6,0.8,1,UT,1
118_CC_1,18,1,1,0,355,-1,0,65400,332880,2.08,7257,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5808,7140,8351,0.65258216,0.82629108,1,UT,1
123_STEAM_2,23,1,1,0,155,-1,0,65400,1080108,14.2,10967,Coal,250,91,7437.5,8,8,1.16129032,1.16129032,62,0.03333333,0.06666667,0,0,400,9191,10865,15627,0.6,0.8,1,UT,1
123_STEAM_3,23,1,1,0,350,-1,0,65400,1080108,14.2,12106,Coal,250,91,10114.4,24,48,0.68571429,0.68571429,140,0.03333333,0.06666667,0,0,400,9453,10240,11087,0.6,0.8,1,UT,1
123_CT_1,23,1,1,0,55,-1,0,65400,332880,2.08,12725,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6757,7667,7998,0.6,0.8,1,UT,1
123_CT_4,23,1,1,0,55,-1,0,65400,332880,2.08,12725,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6757,7667,7998,0.6,0.8,1,UT,1
123_CT_5,23,1,1,0,55,-1,0,65400,332880,2.08,12725,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6757,7667,7998,0.6,0.8,1,UT,1
121_NUCLEAR_1,21,1,1,0,400,-1,0,65400,1103760,1.9,10000,Nuclear,250,91,0,24,48,3,3,396,0.03333333,0.06666667,0,0,400,0,0,0,0.99333333,0.99666667,1,UT,1
201_CT_1,25,1,1,0,20,-1,0,65400,219000,6.94,13977,Oil,250,91,5,1,1,9,9,8,0.25,0.5,0,0,400,7969,8107,10782,0.6,0.8,1,NV,2
201_CT_2,25,1,1,0,20,-1,0,65400,219000,6.94,13977,Oil,250,91,5,1,1,9,9,8,0.13333272,0.26666544,0,0,400,7969,8107,10782,0.6,0.8,1,NV,2
201_STEAM_3,25,1,1,0,76,-1,0,65400,1080108,14.2,12989,Coal,250,91,4861.4,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,10495,11090,12185,0.59649123,0.79824561,1,NV,2
202_CT_1,26,1,1,0,20,-1,0,65400,219000,6.94,13663,Oil,250,91,4861.4,1,1,9,9,8,0.03333333,0.06666667,0,0,400,7836,8442,9454,0.6,0.8,1,NV,2
202_CT_2,26,1,1,0,20,-1,0,65400,219000,6.94,13663,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,7836,8442,9454,0.6,0.8,1,NV,2
202_STEAM_3,26,1,1,0,76,-1,0,65400,1080108,14.2,11846,Coal,250,91,5,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,9989,10070,12902,0.59649123,0.79824561,1,NV,2
202_STEAM_4,26,1,1,0,76,-1,0,65400,1080108,14.2,11846,Coal,250,91,4861.4,8,4,1.57894737,1.57894737,30,0.03333333,0.06666667,0,0,400,9989,10070,12902,0.59649123,0.79824561,1,NV,2
207_CT_1,31,1,1,0,55,-1,0,65400,332880,2.08,13051,NG,250,91,4861.4,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,8804,9481,10955,0.6,0.8,1,NV,2
207_CT_2,31,1,1,0,55,-1,0,65400,332880,2.08,13051,NG,250,91,4536.1,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,8804,9481,10955,0.6,0.8,1,NV,2
213_CC_3,37,1,1,0,355,-1,0,65400,332880,2.08,7824,NG,250,91,1122.5,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,6334,6979,8749,0.65258216,0.82629108,1,NV,2
213_CT_1,37,1,1,0,55,-1,0,65400,332880,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,NV,2
213_CT_2,37,1,1,0,55,-1,0,65400,332880,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,NV,2
215_CT_4,39,1,1,0,55,-1,0,65400,332880,2.08,14229,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6668,6987,8421,0.6,0.8,1,NV,2
215_CT_5,39,1,1,0,55,-1,0,65400,332880,2.08,14229,NG,250,91,44,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,6668,6987,8421,0.6,0.8,1,NV,2
216_STEAM_1,40,1,1,0,155,-1,0,65400,1080108,14.2,10881,Coal,250,91,44,8,8,1.16129032,1.16129032,62,0.03333333,0.06666667,0,0,400,8786,10333,11191,0.6,0.8,1,NV,2
218_CC_1,42,1,1,0,355,-1,0,65400,332880,2.08,11385,NG,250,91,7437.5,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5388,5575,7658,0.65258216,0.82629108,1,NV,2
221_CC_1,45,1,1,0,355,-1,0,65400,332880,2.08,6887,NG,250,91,7437.5,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5950,6772,9293,0.65258216,0.82629108,1,NV,2
223_STEAM_1,47,1,1,0,155,-1,0,65400,1080108,14.2,10857,Coal,250,91,4536.1,8,8,1.16129032,1.16129032,62,0.03333333,0.06666667,0,0,400,9004,9314,9659,0.6,0.8,1,NV,2
223_STEAM_2,47,1,1,0,155,-1,0,65400,1080108,14.2,10857,Coal,250,91,7437.5,8,8,1.16129032,1.16129032,62,0.03333333,0.06666667,0,0,400,9004,9314,9659,0.6,0.8,1,NV,2
223_STEAM_3,47,1,1,0,350,-1,0,65400,1080108,14.2,11229,Coal,250,91,10114.4,24,48,0.68571429,0.68571429,140,0.03333333,0.06666667,0,0,400,8922,10913,11645,0.6,0.8,1,NV,2
223_CT_4,47,1,1,0,55,-1,0,65400,332880,2.08,19794,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,9595,10225,10676,0.6,0.8,1,NV,2
223_CT_5,47,1,1,0,55,-1,0,65400,332880,2.08,19794,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,9595,10225,10676,0.6,0.8,1,NV,2
223_CT_6,47,1,1,0,55,-1,0,65400,332880,2.08,19794,NG,250,91,1122.5,2.2,2.2,4.03636364,4.03636364,22,0.03333333,0.06666667,0,0,400,9595,10225,10676,0.6,0.8,1,NV,2
