Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,Demand_MW_z28,Demand_MW_z29,Demand_MW_z30,Demand_MW_z31,Demand_MW_z32,Demand_MW_z33,Demand_MW_z34,Demand_MW_z35,Demand_MW_z36,Demand_MW_z37,Demand_MW_z38,Demand_MW_z39,Demand_MW_z40,Demand_MW_z41,Demand_MW_z42,Demand_MW_z43,Demand_MW_z44,Demand_MW_z45,Demand_MW_z46,Demand_MW_z47,Demand_MW_z48,Demand_MW_z49,Demand_MW_z50,Demand_MW_z51,Demand_MW_z52,Demand_MW_z53,Demand_MW_z54,Demand_MW_z55,Demand_MW_z56,Demand_MW_z57,Demand_MW_z58,Demand_MW_z59,Demand_MW_z60,Demand_MW_z61,Demand_MW_z62,Demand_MW_z63,Demand_MW_z64,Demand_MW_z65,Demand_MW_z66,Demand_MW_z67,Demand_MW_z68,Demand_MW_z69,Demand_MW_z70,Demand_MW_z71,Demand_MW_z72,Demand_MW_z73
,,,,,,,,13,41.9762494,37.7008907,69.9604156,28.7615042,27.5954973,52.8589807,48.583622,66.4623949,68.0170708,75.7904503,0,0,102.997279,75.4017813,123.208065,38.8668976,0,129.426769,70.3490846,49.7496289,0,0,0,0,44.5225877,39.9878797,74.2043129,30.5062175,29.269479,56.0654809,51.5307729,70.4940973,72.143082,80.3880057,0,0,109.245238,79.9757595,130.68204,41.2246183,0,137.277979,74.6165591,52.7675114,0,0,0,0,41.9762496,37.700891,69.9604159,28.7615039,27.5954976,52.8589804,48.5836218,66.4623949,68.017071,75.7904507,0,0,102.997278,75.4017808,123.208065,38.8668973,0,129.426769,70.3490847,49.7496292,0,0,0,0,0
,,,,,,,,14,41.4552202,37.2329292,69.0920336,28.4045027,27.2529688,52.2028699,47.9805789,65.6374319,67.1728105,74.8497031,0,0,101.718827,74.4658585,121.678748,38.3844631,0,127.820262,69.4758783,49.1321128,0,0,0,0,44.0295923,39.5450968,73.3826539,30.1684244,28.9453802,55.4446718,50.9601763,69.7135212,71.3442468,79.4978751,0,0,108.035574,79.0901936,129.235007,40.7681411,0,135.75791,73.7903353,52.1832206,0,0,0,0,41.4552204,37.2329295,69.0920339,28.4045024,27.2529691,52.2028696,47.9805788,65.6374319,67.1728107,74.8497035,0,0,101.718827,74.465858,121.678748,38.3844628,0,127.820262,69.4758783,49.1321131,0,0,0,0,0
,,,,,,,,15,41.2147452,37.0169471,68.691242,28.2397328,27.0948788,51.9000495,47.7022514,65.2566799,66.7831519,74.4155121,0,0,101.128773,74.0338941,120.972909,38.1618011,0,127.078798,69.07286,48.8471054,0,0,0,0,43.8595939,39.392413,73.0993232,30.051944,28.8336219,55.2305997,50.7634189,69.444357,71.0687864,79.1909334,0,0,107.618448,78.7848261,128.73603,40.6107351,0,135.233748,73.5054305,51.9817409,0,0,0,0,41.2147454,37.0169474,68.6912422,28.2397325,27.0948791,51.9000492,47.7022512,65.2566799,66.7831522,74.4155125,0,0,101.128773,74.0338936,120.972909,38.1618008,0,127.078797,69.0728601,48.8471057,0,0,0,0,0
,,,,,,,,16,41.3617021,37.1489362,68.9361702,28.3404255,27.1914894,52.0851064,47.8723404,65.4893617,67.0212766,74.6808511,0,0,101.489362,74.2978724,121.404255,38.2978724,0,127.531915,69.319149,49.0212766,0,0,0,0,44.0295923,39.5450968,73.3826539,30.1684244,28.9453802,55.4446718,50.9601763,69.7135212,71.3442468,79.4978751,0,0,108.035574,79.0901936,129.235007,40.7681411,0,135.75791,73.7903353,52.1832206,0,0,0,0,41.3617023,37.1489365,68.9361705,28.3404252,27.1914897,52.0851061,47.8723403,65.4893617,67.0212769,74.6808515,0,0,101.489362,74.2978719,121.404255,38.297872,0,127.531915,69.319149,49.0212769,0,0,0,0,0
,,,,,,,,17,44.3542801,39.8367145,73.9238001,30.3908956,29.1588323,55.8535378,51.3359723,70.2276101,71.8703612,80.0841168,0,0,108.832261,79.673429,130.188026,41.0687778,0,136.75903,74.3344879,52.5680356,0,0,0,0,45.2365811,40.6291516,75.3943019,30.9954352,29.7388635,56.9645836,52.3571541,71.6245868,73.3000157,81.6771604,0,0,110.997167,81.2583031,132.777743,41.8857233,0,139.479459,75.8131591,53.6137258,0,0,0,0,44.3542802,39.8367148,73.9238004,30.3908953,29.1588326,55.8535376,51.3359721,70.2276101,71.8703615,80.0841172,0,0,108.832261,79.6734285,130.188026,41.0687775,0,136.75903,74.3344879,52.568036,0,0,0,0,0
,,,,,,,,18,48.5091539,43.5684067,80.8485898,33.2377536,31.8902771,61.0856012,56.144854,76.8061603,78.6027957,87.5859723,0,0,119.027091,87.1368135,142.38335,44.9158832,0,149.569891,81.2977486,57.4923305,0,0,0,0,53.3965056,47.9579726,88.994176,36.5864946,35.1032583,67.2400441,61.8015111,84.5444672,86.5221155,96.4103573,0,0,131.019204,95.9159452,156.728632,49.4412089,0,164.639226,89.4885881,63.2847474,0,0,0,0,48.5091541,43.5684071,80.8485902,33.2377532,31.8902775,61.0856009,56.1448539,76.8061603,78.6027959,87.5859728,0,0,119.02709,87.1368129,142.38335,44.9158829,0,149.569891,81.2977487,57.4923309,0,0,0,0,0
,,,,,,,,19,47.974765,43.0884463,79.9579416,32.8715982,31.5389659,60.412667,55.5263483,75.9600445,77.7368877,86.6211034,0,0,117.715859,86.1768926,140.814819,44.4210787,0,147.922192,80.4021524,56.8589807,0,0,0,0,54.1274988,48.6145128,90.212498,37.0873603,35.5838187,68.1605541,62.6475681,85.7018731,87.7065953,97.7302062,0,0,132.812844,97.2290256,158.874233,50.1180545,0,166.893121,90.7136786,64.1511097,0,0,0,0,47.9747652,43.0884467,79.9579419,32.8715979,31.5389662,60.4126667,55.5263482,75.9600445,77.736888,86.6211039,0,0,117.715858,86.1768921,140.814819,44.4210783,0,147.922192,80.4021525,56.8589811,0,0,0,0,0
,,,,,,,,20,47.1865413,42.3805047,78.6442355,32.3315191,31.0207818,59.4200891,54.6140525,74.7120238,76.4596734,85.1979218,0,0,115.781791,84.7610094,138.501237,43.691242,0,145.491836,79.081148,55.9247897,0,0,0,0,53.3115064,47.8816307,88.8525106,36.5282544,35.0473792,67.133008,61.7031324,84.4098851,86.3843853,96.2568865,0,0,130.810641,95.7632614,156.479144,49.3625059,0,164.377145,89.3461357,63.1840076,0,0,0,0,47.1865415,42.3805051,78.6442359,32.3315187,31.0207822,59.4200888,54.6140523,74.7120238,76.4596737,85.1979223,0,0,115.781791,84.7610089,138.501237,43.6912416,0,145.491835,79.081148,55.9247901,0,0,0,0,0
,,,,,,,,21,45.6501732,41.0006185,76.083622,31.2788224,30.010762,57.4854033,52.8358486,72.2794409,73.970188,82.4239238,0,0,112.011999,82.001237,133.991712,42.2686789,0,140.754701,76.5063088,54.103909,0,0,0,0,51.9685188,46.6754289,86.614198,35.6080592,34.1644892,65.4418385,60.1487486,82.2834881,84.2082481,93.8320479,0,0,127.515347,93.3508579,152.537227,48.1189989,0,160.236266,87.095388,61.5923186,0,0,0,0,45.6501734,41.0006189,76.0836223,31.278822,30.0107624,57.485403,52.8358485,72.2794409,73.9701883,82.4239243,0,0,112.011999,82.0012365,133.991712,42.2686785,0,140.7547,76.5063089,54.1039093,0,0,0,0,0
,,,,,,,,22,42.3503216,38.036863,70.5838694,29.017813,27.8414152,53.3300347,49.016576,67.0546759,68.6232064,76.4658585,0,0,103.915141,76.0737259,124.306037,39.2132608,0,130.580158,70.976002,50.1929738,0,0,0,0,49.146545,44.1408783,81.9109083,33.6744845,32.3093027,61.8882418,56.8825752,77.8153628,79.6356053,88.7368173,0,0,120.591059,88.2817567,144.254211,45.5060601,0,151.53518,82.3659689,58.247757,0,0,0,0,42.3503218,38.0368633,70.5838697,29.0178127,27.8414155,53.3300344,49.0165758,67.0546759,68.6232066,76.4658589,0,0,103.915141,76.0737254,124.306037,39.2132604,0,130.580158,70.9760021,50.1929741,0,0,0,0,0
,,,,,,,,23,39.0771895,35.0971054,65.1286492,26.7751113,25.6896338,49.2083127,45.2282286,61.8722167,63.31952,70.5560366,0,0,95.8838446,70.1942108,114.698788,36.1825829,0,120.488001,65.490475,46.3137061,0,0,0,0,45.8825752,41.2093499,76.4709586,31.4380608,30.1635448,57.7780576,53.1048324,72.6474107,74.3467653,82.8435385,0,0,112.582245,82.4186998,134.673855,42.4838659,0,141.471273,76.8957973,54.3793484,0,0,0,0,39.0771897,35.0971057,65.1286495,26.775111,25.6896342,49.2083125,45.2282285,61.8722167,63.3195203,70.556037,0,0,95.8838445,70.1942103,114.698788,36.1825826,0,120.488001,65.4904751,46.3137064,0,0,0,0,0
,,,,,,,,24,37.5541811,33.7292182,62.5903018,25.7315685,24.6883968,47.2904503,43.4654874,59.4607867,60.8516823,67.8061603,0,0,92.1468333,67.4584364,110.228476,34.7723899,0,115.792058,62.9380257,44.5086591,0,0,0,0,43.1456005,38.7511412,71.9093342,29.5627263,28.3642374,54.3314969,49.9370376,68.3138675,69.9118527,77.9017787,0,0,105.86652,77.5022824,126.640327,39.9496301,0,133.032268,72.3088305,51.1355265,0,0,0,0,37.5541813,33.7292185,62.5903021,25.7315683,24.6883971,47.29045,43.4654873,59.4607867,60.8516826,67.8061607,0,0,92.1468331,67.458436,110.228476,34.7723896,0,115.792058,62.9380258,44.5086594,0,0,0,0,0
,,,,,,,,25,36.7926769,33.0452746,61.3211282,25.2097971,24.1877783,46.3315191,42.5841168,58.2550717,59.6177635,66.4312222,0,0,90.2783276,66.0905492,107.99332,34.0672934,0,113.444087,61.6618011,43.6061356,0,0,0,0,41.581615,37.3464505,69.3026917,28.4911066,27.3360617,52.3620337,48.1268692,65.8375571,67.3776169,75.077916,0,0,102.028963,74.692901,122.04974,38.5014954,0,128.20998,69.6877066,49.2819141,0,0,0,0,36.792677,33.0452749,61.3211284,25.2097969,24.1877786,46.3315188,42.5841167,58.2550717,59.6177637,66.4312225,0,0,90.2783274,66.0905488,107.99332,34.0672931,0,113.444087,61.6618012,43.6061359,0,0,0,0,0
,,,,,,,,26,36.6991588,32.9612815,61.1652647,25.1457199,24.1262989,46.2137556,42.4758783,58.1070015,59.4662296,66.2623701,0,0,90.048862,65.9225631,107.718827,33.9807026,0,113.15574,61.5050717,43.4952994,0,0,0,0,41.0206202,36.8425941,68.3677003,28.1067212,26.9672596,51.6555958,47.4775697,64.9493153,66.4685975,74.0650087,0,0,100.652448,73.6851881,120.403117,37.9820557,0,126.480246,68.7475209,48.6170313,0,0,0,0,36.699159,32.9612818,61.165265,25.1457197,24.1262992,46.2137553,42.4758782,58.1070015,59.4662298,66.2623705,0,0,90.0488618,65.9225627,107.718827,33.9807023,0,113.15574,61.5050718,43.4952996,0,0,0,0,0
,,,,,,,,27,37.0598714,33.2852548,61.7664523,25.3928748,24.3634339,46.6679861,42.8933696,58.6781296,60.0507175,66.9136566,0,0,90.9339436,66.5705097,108.777585,34.3146957,0,114.267937,62.1095992,43.9228105,0,0,0,0,40.7316229,36.5830317,67.8860381,27.9087046,26.7772706,51.2916732,47.143082,64.4917362,66.0003148,73.543208,0,0,99.9433339,73.1660633,119.554856,37.7144656,0,125.589171,68.2631828,48.274516,0,0,0,0,37.0598715,33.2852551,61.7664525,25.3928745,24.3634342,46.6679859,42.8933695,58.6781296,60.0507177,66.913657,0,0,90.9339435,66.5705092,108.777585,34.3146954,0,114.267936,62.1095993,43.9228108,0,0,0,0,0
,,,,,,,,28,38.329045,34.4251608,63.8817417,26.2624938,25.1977981,48.2662048,44.3623206,60.6876546,62.1072489,69.2052202,0,0,94.0481197,68.8503216,112.502845,35.4898565,0,118.181222,64.2366403,45.4270163,0,0,0,0,40.8166221,36.6593735,68.0277035,27.9669448,26.8331497,51.3987093,47.2414608,64.6263183,66.138045,73.6966788,0,0,100.151897,73.3187471,119.804345,37.7931686,0,125.851251,68.4056352,48.3752558,0,0,0,0,38.3290452,34.4251611,63.881742,26.2624935,25.1977984,48.2662046,44.3623205,60.6876546,62.1072491,69.2052205,0,0,94.0481196,68.8503212,112.502845,35.4898562,0,118.181222,64.2366403,45.4270166,0,0,0,0,0
,,,,,,,,29,41.6021771,37.3649184,69.3369619,28.5051955,27.3495794,52.3879268,48.150668,65.8701138,67.4109352,75.1150421,0,0,102.079416,74.7298367,122.110094,38.5205344,0,128.27338,69.7221672,49.306284,0,0,0,0,41.581615,37.3464505,69.3026917,28.4911066,27.3360617,52.3620337,48.1268692,65.8375571,67.3776169,75.077916,0,0,102.028963,74.692901,122.04974,38.5014954,0,128.20998,69.6877066,49.2819141,0,0,0,0,41.6021773,37.3649187,69.3369622,28.5051951,27.3495797,52.3879265,48.1506679,65.8701138,67.4109354,75.1150425,0,0,102.079416,74.7298362,122.110094,38.5205341,0,128.273379,69.7221673,49.3062843,0,0,0,0,0
,,,,,,,,30,46.2780802,41.564572,77.1301336,31.7090549,30.4235527,58.2761009,53.5625928,73.2736269,74.9876299,83.5576447,0,0,113.552697,83.129144,135.834735,42.8500742,0,142.690747,77.5586343,54.848095,0,0,0,0,43.7745947,39.3160711,72.9576578,29.9937038,28.7777428,55.1235637,50.6650401,69.3097749,70.9310562,79.0374626,0,0,107.409885,78.6321423,128.486542,40.5320321,0,134.971667,73.3629781,51.8810011,0,0,0,0,46.2780803,41.5645723,77.1301339,31.7090546,30.4235531,58.2761006,53.5625926,73.2736269,74.9876302,83.5576452,0,0,113.552697,83.1291434,135.834735,42.8500739,0,142.690747,77.5586344,54.8480954,0,0,0,0,0
,,,,,,,,31,48.2820386,43.3644236,80.4700643,33.0821376,31.7409698,60.7996042,55.8819891,76.4465611,78.2347848,87.175903,0,0,118.469817,86.7288471,141.716724,44.7055913,0,148.869619,80.9171203,57.2231569,0,0,0,0,46.8515662,42.0796474,78.0859436,32.101999,30.8005667,58.9982685,54.2263497,74.1816464,75.9168896,84.5931056,0,0,114.959861,84.1592948,137.518023,43.3810798,0,144.458996,78.5197544,55.5277821,0,0,0,0,48.2820388,43.3644239,80.4700647,33.0821372,31.7409702,60.7996039,55.881989,76.4465611,78.2347851,87.1759035,0,0,118.469817,86.7288466,141.716724,44.7055909,0,148.869619,80.9171203,57.2231572,0,0,0,0,0
,,,,,,,,32,46.4116774,41.6845621,77.3527957,31.8005938,30.5113805,58.4443345,53.7172192,73.4851559,75.2041069,83.798862,0,0,113.880505,83.3691242,136.226868,42.9737754,0,143.102672,77.7825334,55.0064325,0,0,0,0,46.0525736,41.3620337,76.7542893,31.5545412,30.275303,57.9921297,53.3015898,72.9165748,74.6222257,83.1504801,0,0,112.99937,82.7240673,135.172832,42.6412718,0,141.995435,77.180702,54.5808279,0,0,0,0,46.4116776,41.6845625,77.352796,31.8005934,30.5113809,58.4443342,53.7172191,73.4851559,75.2041072,83.7988624,0,0,113.880505,83.3691237,136.226868,42.973775,0,143.102672,77.7825335,55.0064328,0,0,0,0,0
,,,,,,,,33,44.5145967,39.9807026,74.1909946,30.5007422,29.2642256,56.0554181,51.521524,70.4814448,72.1301336,80.3735774,0,0,109.225631,79.9614052,130.658585,41.2172192,0,137.25334,74.6031667,52.7580406,0,0,0,0,45.6275775,40.9803243,76.0459626,31.2633402,29.9959075,57.4569495,52.8096962,72.2436644,73.9335747,82.3831261,0,0,111.956556,81.9606486,133.92539,42.247757,0,140.685031,76.4684401,54.0771289,0,0,0,0,44.5145969,39.980703,74.1909949,30.5007419,29.264226,56.0554178,51.5215239,70.4814448,72.1301339,80.3735779,0,0,109.225631,79.9614047,130.658585,41.2172188,0,137.25334,74.6031668,52.7580409,0,0,0,0,0
,,,,,,,,34,43.5927758,39.1527709,72.6546264,29.8691242,28.6582138,54.8946066,50.4546017,69.0218951,70.6364423,78.7091786,0,0,106.963756,78.3055418,127.95287,40.3636813,0,134.411059,73.0582632,51.6655121,0,0,0,0,45.2025815,40.5986148,75.3376358,30.9721392,29.7165119,56.9217693,52.3178026,71.570754,73.2449237,81.6157721,0,0,110.913742,81.1972297,132.677948,41.8542421,0,139.374626,75.7561782,53.5734299,0,0,0,0,43.592776,39.1527712,72.6546267,29.8691239,28.6582141,54.8946063,50.4546015,69.0218951,70.6364426,78.709179,0,0,106.963755,78.3055413,127.95287,40.363681,0,134.411059,73.0582633,51.6655125,0,0,0,0,0
,,,,,,,,35,42.764473,38.4088323,71.2741217,29.3015834,28.1136813,53.8515586,49.4959179,67.7104156,69.294285,77.2136319,0,0,104.931346,76.8176645,125.521648,39.5967343,0,131.857125,71.6700891,50.6838199,0,0,0,0,44.9135841,40.3390524,74.8559735,30.7741225,29.5265229,56.5578467,51.983315,71.1131749,72.7766409,81.0939713,0,0,110.204628,80.6781048,131.829687,41.586652,0,138.483551,75.2718401,53.2309145,0,0,0,0,42.7644732,38.4088326,71.274122,29.3015831,28.1136817,53.8515583,49.4959177,67.7104156,69.2942853,77.2136323,0,0,104.931346,76.817664,125.521648,39.5967339,0,131.857125,71.6700891,50.6838202,0,0,0,0,0
