,Network_zones,Network_Lines,Start_Zone,End_Zone,pMax_quantized_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Angle_Limit_Rad,Line_Voltage_kV,Line_Resistance_Ohms,Line_Reactance_Ohms
BUS28,z28,28,16,17,25,BUS13_to_BUS19,0.5,0.0015,500,12000,0.95,0,0.785398,345,88.30739423,996.6054808
BUS29,z29,29,16,19,25,BUS13_to_BUS20,0.5,0.0015,500,12000,0.95,0,0.785398,345,85.60644231,991.7660027
BUS30,z30,30,17,18,25,BUS13_to_BUS21,0.5,0.0015,500,12000,0.95,0,0.785398,345,82.90549038,986.9265247
BUS31,z31,31,17,22,25,BUS13_to_BUS22,0.5,0.0015,500,12000,0.95,0,0.785398,345,80.20453846,982.0870467
BUS32,z32,32,18,21,25,BUS13_to_BUS23,0.5,0.0015,500,12000,0.95,0,0.785398,345,77.50358654,977.2475687
BUS33,z33,33,18,21,25,BUS13_to_BUS24,0.5,0.0015,500,12000,0.95,0,0.785398,345,74.80263462,972.4080907
BUS34,z34,34,19,20,25,BUS13_to_BUS25,0.5,0.0015,500,12000,0.95,0,0.785398,345,72.10168269,967.5686126
BUS35,z35,35,19,20,25,BUS13_to_BUS26,0.5,0.0015,500,12000,0.95,0,0.785398,345,69.40073077,962.7291346
BUS36,z36,36,20,23,25,BUS13_to_BUS27,0.5,0.0015,500,12000,0.95,0,0.785398,345,66.69977885,957.8896566
BUS37,z37,37,20,23,25,BUS13_to_BUS28,0.5,0.0015,500,12000,0.95,0,0.785398,345,63.99882692,953.0501786
BUS38,z38,38,21,22,25,BUS13_to_BUS29,0.5,0.0015,500,12000,0.95,0,0.785398,345,61.297875,948.2107005
BUS39,z39,39,25,26,25,BUS13_to_BUS30,0.5,0.0015,500,12000,0.95,0,0.785398,345,58.59692308,943.3712225
BUS40,z40,40,25,27,25,BUS13_to_BUS31,0.5,0.0015,500,12000,0.95,0,0.785398,345,55.89597115,938.5317445
BUS41,z41,41,25,29,25,BUS13_to_BUS32,0.5,0.0015,500,12000,0.95,0,0.785398,345,53.19501923,933.6922665
BUS42,z42,42,26,28,25,BUS13_to_BUS33,0.5,0.0015,500,12000,0.95,0,0.785398,345,50.49406731,928.8527885
BUS43,z43,43,26,30,25,BUS13_to_BUS34,0.5,0.0015,500,12000,0.95,0,0.785398,345,47.79311538,924.0133104
BUS44,z44,44,27,33,25,BUS13_to_BUS35,0.5,0.0015,500,12000,0.95,0,0.785398,345,45.09216346,919.1738324
BUS45,z45,45,27,48,25,BUS13_to_BUS36,0.5,0.0015,500,12000,0.95,0,0.785398,345,42.39121154,914.3343544
BUS46,z46,46,28,33,25,BUS13_to_BUS37,0.5,0.0015,500,12000,0.95,0,0.785398,345,39.69025962,909.4948764
BUS47,z47,47,29,34,25,BUS13_to_BUS38,0.5,0.0015,500,12000,0.95,0,0.785398,345,36.98930769,904.6553984
BUS48,z48,48,30,34,25,BUS13_to_BUS39,0.5,0.0015,500,12000,0.95,0,0.785398,345,34.28835577,899.8159203
BUS49,z49,49,31,32,25,BUS13_to_BUS40,0.5,0.0015,500,12000,0.95,0,0.785398,345,31.58740385,894.9764423
BUS50,z50,50,32,33,25,BUS13_to_BUS41,0.5,0.0015,500,12000,0.95,0,0.785398,345,28.88645192,890.1369643
BUS51,z51,51,32,34,25,BUS13_to_BUS42,0.5,0.0015,500,12000,0.95,0,0.785398,345,26.1855,885.2974863
BUS52,z52,52,33,35,25,BUS13_to_BUS43,0.5,0.0015,500,12000,0.95,0,0.785398,345,23.48454808,880.4580082
BUS53,z53,53,33,36,25,BUS13_to_BUS44,0.5,0.0015,500,12000,0.95,0,0.785398,345,20.78359615,875.6185302
BUS54,z54,54,34,35,25,BUS13_to_BUS45,0.5,0.0015,500,12000,0.95,0,0.785398,345,18.08264423,870.7790522
BUS55,z55,55,34,36,25,BUS13_to_BUS46,0.5,0.0015,500,12000,0.95,0,0.785398,345,15.38169231,865.9395742
BUS56,z56,56,35,37,25,BUS13_to_BUS47,0.5,0.0015,500,12000,0.95,0,0.785398,345,12.68074038,861.1000962
BUS57,z57,57,35,38,25,BUS13_to_BUS48,0.5,0.0015,500,12000,0.95,0,0.785398,345,9.979788462,856.2606181
BUS58,z58,58,36,37,25,BUS13_to_BUS49,0.5,0.0015,500,12000,0.95,0,0.785398,345,7.278836538,851.4211401
BUS59,z59,59,36,47,25,BUS13_to_BUS50,0.5,0.0015,500,12000,0.95,0,0.785398,345,4.577884615,846.5816621
BUS60,z60,60,37,47,25,BUS13_to_BUS51,0.5,0.0015,500,12000,0.95,0,0.785398,345,1.876932692,841.7421841
BUS61,z61,61,38,40,25,BUS13_to_BUS52,0.5,0.0015,500,12000,0.95,0,0.785398,345,0.824019231,836.902706
BUS62,z62,62,39,40,25,BUS13_to_BUS53,0.5,0.0015,500,12000,0.95,0,0.785398,345,3.524971154,832.063228
BUS63,z63,63,39,45,25,BUS13_to_BUS54,0.5,0.0015,500,12000,0.95,0,0.785398,345,6.225923077,827.22375
BUS64,z64,64,39,45,25,BUS13_to_BUS55,0.5,0.0015,500,12000,0.95,0,0.785398,345,8.926875,822.384272
BUS65,z65,65,39,48,25,BUS13_to_BUS56,0.5,0.0015,500,12000,0.95,0,0.785398,345,11.62782692,817.544794
BUS66,z66,66,40,41,25,BUS13_to_BUS57,0.5,0.0015,500,12000,0.95,0,0.785398,345,14.32877885,812.7053159
BUS67,z67,67,40,43,25,BUS13_to_BUS58,0.5,0.0015,500,12000,0.95,0,0.785398,345,17.02973077,807.8658379
BUS68,z68,68,41,42,25,BUS13_to_BUS59,0.5,0.0015,500,12000,0.95,0,0.785398,345,19.73068269,803.0263599
BUS69,z69,69,41,46,25,BUS13_to_BUS60,0.5,0.0015,500,12000,0.95,0,0.785398,345,22.43163462,798.1868819
BUS70,z70,70,42,45,25,BUS13_to_BUS61,0.5,0.0015,500,12000,0.95,0,0.785398,345,25.13258654,793.3474038
BUS71,z71,71,42,45,25,BUS13_to_BUS62,0.5,0.0015,500,12000,0.95,0,0.785398,345,27.83353846,788.5079258
BUS72,z72,72,43,44,25,BUS13_to_BUS63,0.5,0.0015,500,12000,0.95,0,0.785398,345,30.53449038,783.6684478
BUS73,z73,73,43,44,25,BUS13_to_BUS64,0.5,0.0015,500,12000,0.95,0,0.785398,345,33.23544231,778.8289698
,,74,44,47,25,BUS13_to_BUS65,0.5,0.0015,500,12000,0.95,0,0.785398,345,35.93639423,773.9894918
,,75,44,47,25,BUS13_to_BUS66,0.5,0.0015,500,12000,0.95,0,0.785398,345,38.63734615,769.1500137
,,76,45,46,25,BUS13_to_BUS67,0.5,0.0015,500,12000,0.95,0,0.785398,345,41.33829808,764.3105357
,,77,49,50,25,BUS13_to_BUS68,0.5,0.0015,500,12000,0.95,0,0.785398,345,44.03925,759.4710577
,,78,49,51,25,BUS13_to_BUS69,0.5,0.0015,500,12000,0.95,0,0.785398,345,46.74020192,754.6315797
,,79,49,53,25,BUS13_to_BUS70,0.5,0.0015,500,12000,0.95,0,0.785398,345,49.44115385,749.7921016
,,80,50,52,25,BUS13_to_BUS71,0.5,0.0015,500,12000,0.95,0,0.785398,345,52.14210577,744.9526236
,,81,50,54,25,BUS13_to_BUS72,0.5,0.0015,500,12000,0.95,0,0.785398,345,54.84305769,740.1131456
,,82,51,57,25,BUS13_to_BUS73,0.5,0.0015,500,12000,0.95,0,0.785398,345,57.54400962,735.2736676
,,83,51,72,25,BUS13_to_BUS74,0.5,0.0015,500,12000,0.95,0,0.785398,345,60.24496154,730.4341896
,,84,52,57,25,BUS13_to_BUS75,0.5,0.0015,500,12000,0.95,0,0.785398,345,62.94591346,725.5947115
,,85,53,58,25,BUS13_to_BUS76,0.5,0.0015,500,12000,0.95,0,0.785398,345,65.64686538,720.7552335
,,86,54,58,25,BUS13_to_BUS77,0.5,0.0015,500,12000,0.95,0,0.785398,345,68.34781731,715.9157555
,,87,55,56,25,BUS13_to_BUS78,0.5,0.0015,500,12000,0.95,0,0.785398,345,71.04876923,711.0762775
,,88,56,57,25,BUS13_to_BUS79,0.5,0.0015,500,12000,0.95,0,0.785398,345,73.74972115,706.2367995
,,89,56,58,25,BUS13_to_BUS80,0.5,0.0015,500,12000,0.95,0,0.785398,345,76.45067308,701.3973214
,,90,57,59,25,BUS13_to_BUS81,0.5,0.0015,500,12000,0.95,0,0.785398,345,79.151625,696.5578434
,,91,57,60,25,BUS13_to_BUS82,0.5,0.0015,500,12000,0.95,0,0.785398,345,81.85257692,691.7183654
,,92,58,59,25,BUS13_to_BUS83,0.5,0.0015,500,12000,0.95,0,0.785398,345,84.55352885,686.8788874
,,93,58,60,25,BUS13_to_BUS84,0.5,0.0015,500,12000,0.95,0,0.785398,345,87.25448077,682.0394093
,,94,59,61,25,BUS13_to_BUS85,0.5,0.0015,500,12000,0.95,0,0.785398,345,89.95543269,677.1999313
,,95,59,62,25,BUS13_to_BUS86,0.5,0.0015,500,12000,0.95,0,0.785398,345,92.65638462,672.3604533
,,96,60,61,25,BUS13_to_BUS87,0.5,0.0015,500,12000,0.95,0,0.785398,345,95.35733654,667.5209753
,,97,60,71,25,BUS13_to_BUS88,0.5,0.0015,500,12000,0.95,0,0.785398,345,98.05828846,662.6814973
,,98,61,71,25,BUS13_to_BUS89,0.5,0.0015,500,12000,0.95,0,0.785398,345,100.7592404,657.8420192
,,99,62,64,25,BUS13_to_BUS90,0.5,0.0015,500,12000,0.95,0,0.785398,345,103.4601923,653.0025412
,,100,63,64,25,BUS13_to_BUS91,0.5,0.0015,500,12000,0.95,0,0.785398,345,106.1611442,648.1630632
,,101,63,69,25,BUS13_to_BUS92,0.5,0.0015,500,12000,0.95,0,0.785398,345,108.8620962,643.3235852
,,102,63,69,25,BUS13_to_BUS93,0.5,0.0015,500,12000,0.95,0,0.785398,345,111.5630481,638.4841071
,,103,63,72,25,BUS13_to_BUS94,0.5,0.0015,500,12000,0.95,0,0.785398,345,114.264,633.6446291
,,104,64,65,25,BUS13_to_BUS95,0.5,0.0015,500,12000,0.95,0,0.785398,345,116.9649519,628.8051511
,,105,64,67,25,BUS13_to_BUS96,0.5,0.0015,500,12000,0.95,0,0.785398,345,119.6659038,623.9656731
,,106,65,66,25,BUS13_to_BUS97,0.5,0.0015,500,12000,0.95,0,0.785398,345,122.3668558,619.1261951
,,107,65,70,25,BUS13_to_BUS98,0.5,0.0015,500,12000,0.95,0,0.785398,345,125.0678077,614.286717
,,108,66,69,25,BUS13_to_BUS99,0.5,0.0015,500,12000,0.95,0,0.785398,345,127.7687596,609.447239
,,109,66,69,25,BUS13_to_BUS100,0.5,0.0015,500,12000,0.95,0,0.785398,345,130.4697115,604.607761
,,110,67,68,25,BUS13_to_BUS101,0.5,0.0015,500,12000,0.95,0,0.785398,345,133.1706635,599.768283
,,111,67,68,25,BUS13_to_BUS102,0.5,0.0015,500,12000,0.95,0,0.785398,345,135.8716154,594.9288049
,,112,68,71,25,BUS13_to_BUS103,0.5,0.0015,500,12000,0.95,0,0.785398,345,138.5725673,590.0893269
,,113,68,71,25,BUS13_to_BUS104,0.5,0.0015,500,12000,0.95,0,0.785398,345,141.2735192,585.2498489
,,114,69,70,25,BUS13_to_BUS105,0.5,0.0015,500,12000,0.95,0,0.785398,345,143.9744712,580.4103709
,,115,71,73,25,BUS13_to_BUS106,0.5,0.0015,500,12000,0.95,0,0.785398,345,146.6754231,575.5708929
,,116,23,41,25,BUS13_to_BUS107,0.5,0.0015,500,12000,0.95,0,0.785398,345,149.376375,570.7314148
,,117,73,45,25,BUS13_to_BUS108,0.5,0.0015,500,12000,0.95,0,0.785398,345,152.0773269,565.8919368
,,118,66,47,25,BUS13_to_BUS109,0.5,0.0015,500,12000,0.95,0,0.785398,345,154.7782788,561.0524588
