,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Angle_Limit_Rad,Line_Voltage_kV,Line_Resistance_Ohms,Line_Reactance_Ohms
BUS17,z17,17,10,12,400,BUS1_to_BUS13,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS18,z18,18,11,13,500,BUS1_to_BUS14,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
BUS19,z19,19,11,14,500,BUS1_to_BUS15,29,0.015,500,12000,0.95,0,0.785398,345,0.005,0.042
BUS20,z20,20,12,13,500,BUS1_to_BUS16,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
BUS21,z21,21,12,23,500,BUS1_to_BUS17,67,0.015,500,12000,0.95,0,0.785398,345,0.012,0.097
BUS22,z22,22,13,23,500,BUS1_to_BUS18,60,0.015,500,12000,0.95,0,0.785398,345,0.011,0.087
BUS23,z23,23,14,16,500,BUS1_to_BUS19,27,0.015,500,12000,0.95,0,0.785398,345,0.005,0.059
BUS24,z24,24,15,16,500,BUS1_to_BUS20,12,0.015,500,12000,0.95,0,0.785398,345,0.002,0.017
BUS25,z25,25,15,21,500,BUS1_to_BUS21,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
BUS26,z26,26,15,21,500,BUS1_to_BUS22,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
BUS27,z27,27,15,24,500,BUS1_to_BUS23,36,0.015,500,12000,0.95,0,0.785398,345,0.007,0.052
BUS28,z28,28,16,17,500,BUS1_to_BUS24,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
BUS29,z29,29,16,19,500,BUS1_to_BUS25,16,0.015,500,12000,0.95,0,0.785398,345,0.003,0.023
BUS30,z30,30,17,18,500,BUS1_to_BUS26,10,0.015,500,12000,0.95,0,0.785398,345,0.002,0.014
BUS31,z31,31,17,22,500,BUS1_to_BUS27,73,0.015,500,12000,0.95,0,0.785398,345,0.014,0.105
BUS32,z32,32,18,21,500,BUS1_to_BUS28,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
BUS33,z33,33,18,21,500,BUS1_to_BUS29,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
BUS34,z34,34,19,20,500,BUS1_to_BUS30,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
BUS35,z35,35,19,20,500,BUS1_to_BUS31,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
BUS36,z36,36,20,23,500,BUS1_to_BUS32,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
BUS37,z37,37,20,23,500,BUS1_to_BUS33,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
BUS38,z38,38,21,22,500,BUS1_to_BUS34,47,0.015,500,12000,0.95,0,0.785398,345,0.009,0.068
BUS39,z39,39,25,26,175,BUS1_to_BUS4,3,0.015,500,12000,0.95,0,0.785398,345,0.003,0.014
BUS40,z40,40,25,27,175,BUS4_to_BUS5,55,0.015,500,12000,0.95,0,0.785398,345,0.055,0.211
BUS41,z41,41,25,29,175,BUS5_to_BUS6,22,0.015,500,12000,0.95,0,0.785398,345,0.022,0.085
BUS42,z42,42,26,28,175,BUS3_to_BUS6,33,0.015,500,12000,0.95,0,0.785398,345,0.033,0.127
BUS43,z43,43,26,30,175,BUS6_to_BUS7,50,0.015,500,12000,0.95,0,0.785398,345,0.05,0.192
BUS44,z44,44,27,33,175,BUS7_to_BUS8,31,0.015,500,12000,0.95,0,0.785398,345,0.031,0.119
BUS45,z45,45,27,48,400,BUS8_to_BUS2,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS46,z46,46,28,33,175,BUS8_to_BUS9,27,0.015,500,12000,0.95,0,0.785398,345,0.027,0.104
BUS47,z47,47,29,34,175,BUS9_to_BUS4,23,0.015,500,12000,0.95,0,0.785398,345,0.023,0.088
BUS48,z48,48,30,34,175,BUS1_to_BUS6,16,0.015,500,12000,0.95,0,0.785398,345,0.014,0.061
BUS49,z49,49,31,32,175,BUS1_to_BUS7,16,0.015,500,12000,0.95,0,0.785398,345,0.016,0.061
BUS50,z50,50,32,33,175,BUS1_to_BUS8,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
BUS51,z51,51,32,34,175,BUS1_to_BUS9,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
BUS52,z52,52,33,35,400,BUS1_to_BUS10,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS53,z53,53,33,36,400,BUS1_to_BUS11,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS54,z54,54,34,35,400,BUS1_to_BUS12,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS55,z55,55,34,36,400,BUS1_to_BUS13,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS56,z56,56,35,37,500,BUS1_to_BUS14,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
BUS57,z57,57,35,38,500,BUS1_to_BUS15,29,0.015,500,12000,0.95,0,0.785398,345,0.005,0.042
BUS58,z58,58,36,37,500,BUS1_to_BUS16,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
BUS59,z59,59,36,47,500,BUS1_to_BUS17,67,0.015,500,12000,0.95,0,0.785398,345,0.012,0.097
BUS60,z60,60,37,47,500,BUS1_to_BUS18,60,0.015,500,12000,0.95,0,0.785398,345,0.011,0.087
BUS61,z61,61,38,40,500,BUS1_to_BUS19,27,0.015,500,12000,0.95,0,0.785398,345,0.005,0.059
BUS62,z62,62,39,40,500,BUS1_to_BUS20,12,0.015,500,12000,0.95,0,0.785398,345,0.002,0.017
BUS63,z63,63,39,45,500,BUS1_to_BUS21,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
BUS64,z64,64,39,45,500,BUS1_to_BUS22,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
BUS65,z65,65,39,48,500,BUS1_to_BUS23,36,0.015,500,12000,0.95,0,0.785398,345,0.007,0.052
BUS66,z66,66,40,41,500,BUS1_to_BUS24,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
BUS67,z67,67,40,43,500,BUS1_to_BUS25,16,0.015,500,12000,0.95,0,0.785398,345,0.003,0.023
BUS68,z68,68,41,42,500,BUS1_to_BUS26,10,0.015,500,12000,0.95,0,0.785398,345,0.002,0.014
BUS69,z69,69,41,46,500,BUS1_to_BUS27,73,0.015,500,12000,0.95,0,0.785398,345,0.014,0.105
BUS70,z70,70,42,45,500,BUS1_to_BUS28,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
BUS71,z71,71,42,45,500,BUS1_to_BUS29,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
BUS72,z72,72,43,44,500,BUS1_to_BUS30,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
BUS73,z73,73,43,44,500,BUS1_to_BUS31,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
,,74,44,47,500,BUS1_to_BUS32,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
,,75,44,47,500,BUS1_to_BUS33,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
,,76,45,46,500,BUS1_to_BUS34,47,0.015,500,12000,0.95,0,0.785398,345,0.009,0.068
,,77,49,50,175,BUS1_to_BUS4,3,0.015,500,12000,0.95,0,0.785398,345,0.003,0.014
,,78,49,51,175,BUS4_to_BUS5,55,0.015,500,12000,0.95,0,0.785398,345,0.055,0.211
,,79,49,53,175,BUS5_to_BUS6,22,0.015,500,12000,0.95,0,0.785398,345,0.022,0.085
,,80,50,52,175,BUS3_to_BUS6,33,0.015,500,12000,0.95,0,0.785398,345,0.033,0.127
,,81,50,54,175,BUS6_to_BUS7,50,0.015,500,12000,0.95,0,0.785398,345,0.05,0.192
,,82,51,57,175,BUS7_to_BUS8,31,0.015,500,12000,0.95,0,0.785398,345,0.031,0.119
,,83,51,72,400,BUS8_to_BUS2,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
,,84,52,57,175,BUS8_to_BUS9,27,0.015,500,12000,0.95,0,0.785398,345,0.027,0.104
,,85,53,58,175,BUS9_to_BUS4,23,0.015,500,12000,0.95,0,0.785398,345,0.023,0.088
,,86,54,58,175,BUS1_to_BUS6,16,0.015,500,12000,0.95,0,0.785398,345,0.014,0.061
,,87,55,56,175,BUS1_to_BUS7,16,0.015,500,12000,0.95,0,0.785398,345,0.016,0.061
,,88,56,57,175,BUS1_to_BUS8,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
,,89,56,58,175,BUS1_to_BUS9,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
,,90,57,59,400,BUS1_to_BUS10,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
,,91,57,60,400,BUS1_to_BUS11,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
,,92,58,59,400,BUS1_to_BUS12,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
,,93,58,60,400,BUS1_to_BUS13,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
,,94,59,61,500,BUS1_to_BUS14,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
,,95,59,62,500,BUS1_to_BUS15,29,0.015,500,12000,0.95,0,0.785398,345,0.005,0.042
,,96,60,61,500,BUS1_to_BUS16,33,0.015,500,12000,0.95,0,0.785398,345,0.006,0.048
,,97,60,71,500,BUS1_to_BUS17,67,0.015,500,12000,0.95,0,0.785398,345,0.012,0.097
,,98,61,71,500,BUS1_to_BUS18,60,0.015,500,12000,0.95,0,0.785398,345,0.011,0.087
,,99,62,64,500,BUS1_to_BUS19,27,0.015,500,12000,0.95,0,0.785398,345,0.005,0.059
,,100,63,64,500,BUS1_to_BUS20,12,0.015,500,12000,0.95,0,0.785398,345,0.002,0.017
,,101,63,69,500,BUS1_to_BUS21,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
,,102,63,69,500,BUS1_to_BUS22,34,0.015,500,12000,0.95,0,0.785398,345,0.006,0.049
,,103,63,72,500,BUS1_to_BUS23,36,0.015,500,12000,0.95,0,0.785398,345,0.007,0.052
,,104,64,65,500,BUS1_to_BUS24,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
,,105,64,67,500,BUS1_to_BUS25,16,0.015,500,12000,0.95,0,0.785398,345,0.003,0.023
,,106,65,66,500,BUS1_to_BUS26,10,0.015,500,12000,0.95,0,0.785398,345,0.002,0.014
,,107,65,70,500,BUS1_to_BUS27,73,0.015,500,12000,0.95,0,0.785398,345,0.014,0.105
,,108,66,69,500,BUS1_to_BUS28,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
,,109,66,69,500,BUS1_to_BUS29,18,0.015,500,12000,0.95,0,0.785398,345,0.003,0.026
,,110,67,68,500,BUS1_to_BUS30,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
,,111,67,68,500,BUS1_to_BUS31,27.5,0.015,500,12000,0.95,0,0.785398,345,0.005,0.04
,,112,68,71,500,BUS1_to_BUS32,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
,,113,68,71,500,BUS1_to_BUS33,15,0.015,500,12000,0.95,0,0.785398,345,0.003,0.022
,,114,69,70,500,BUS1_to_BUS34,47,0.015,500,12000,0.95,0,0.785398,345,0.009,0.068
,,115,71,73,722,BUS1_to_BUS35,47,0.015,500,12000,0.95,0,0.785398,345,0,0.009
,,116,23,41,600,BUS1_to_BUS36,47,0.015,500,12000,0.95,0,0.785398,345,0.01,0.074
,,117,73,45,600,BUS1_to_BUS37,47,0.015,500,12000,0.95,0,0.785398,345,0.012,0.097
,,118,66,47,600,BUS1_to_BUS38,47,0.015,500,12000,0.95,0,0.785398,345,0.013,0.104
