Generators,NAME,NODE,NODE_NUMBER,NEW_CAP
75,CT25,Alger,33,0.0
76,207_CT_1,Baker,68,0.0
77,301_CT_3,Cabell,11,0.0
78,316_STEAM_1,Chifa,32,0.0
79,102_CT_1,Adams,4,0.0
80,216_STEAM_1,Basov,44,0.0
81,315_CT_6,Chase,23,0.0
82,201_CT_2,Bach,19,0.0
83,201_STEAM_3,Bach,19,0.0
84,201_CT_1,Bach,19,0.0
85,301_CT_2,Cabell,11,0.0
86,302_CT_4,Cabot,64,0.0
87,CT34,Alger,33,0.0
88,307_CT_1,Carew,21,0.0
89,102_STEAM_4,Adams,4,0.0
90,CC31,Alber,49,0.0
91,107_CC_1,Alder,13,0.0
92,122_WIND_1,Aubrey,30,0.0
93,324_PV_3,Curie,6,0.0
94,312_PV_1,Caxton,48,0.0
95,CSP14,Bajer,8,0.0
96,102_PV_1,Adams,4,0.0
97,101_PV_1,Abel,58,0.0
98,324_PV_2,Curie,6,0.0
99,313_PV_2,Cecil,54,0.0
100,RTPV20,Baffin,72,0.0
101,104_PV_1,Agricola,35,0.0
102,WIND16,Alger,33,1000.0
103,101_PV_2,Abel,58,0.0
104,CSP15,Carew,21,0.0
105,WIND18,Carrel,25,0.0
106,309_WIND_1,Carter,60,0.0
107,310_PV_2,Caruso,27,0.0
108,PV12,Chase,23,0.0
109,113_PV_1,Arne,71,0.0
110,317_WIND_1,Chuhsi,16,0.0
111,PV11,Baker,68,0.0
112,314_PV_1,Chain,47,0.0
113,324_PV_1,Curie,6,0.0
114,103_PV_1,Adler,10,0.0
115,RTPV21,Chase,23,0.0
116,212_CSP_1,Barkla,70,0.0
117,RTPV19,Alger,33,0.0
118,303_WIND_1,Caesar,20,0.0
119,314_PV_2,Chain,47,0.0
120,WIND17,Baker,68,400.0
121,102_PV_2,Adams,4,0.0
122,314_PV_3,Chain,47,0.0
123,320_PV_1,Clive,61,0.0
124,101_PV_3,Abel,58,0.0
125,319_PV_1,Clay,38,0.0
126,PV10,Alger,33,0.0
127,CSP13,Alger,33,0.0
128,314_PV_4,Chain,47,0.0
129,310_PV_1,Caruso,27,0.0
130,215_PV_1,Barton,17,0.0
131,313_PV_1,Cecil,54,0.0
132,101_PV_4,Abel,58,0.0
133,119_PV_1,Attar,51,0.0
134,STORAGE3,Carrel,25,0.0
135,STORAGE2,Bajer,8,0.0
136,STORAGE1,Alger,33,0.0
137,313_STORAGE_1,Cecil,54,0.0
138,313_RTPV_1,Cecil,54,0.0
139,320_RTPV_2,Clive,61,0.0
140,213_RTPV_1,Barlow,39,0.0
141,313_RTPV_9,Cecil,54,0.0
142,313_RTPV_2,Cecil,54,0.0
143,313_RTPV_7,Cecil,54,0.0
144,320_RTPV_3,Clive,61,0.0
145,308_RTPV_1,Carrel,25,0.0
146,313_RTPV_4,Cecil,54,0.0
147,313_RTPV_5,Cecil,54,0.0
148,313_RTPV_6,Cecil,54,0.0
149,320_RTPV_1,Clive,61,0.0
150,320_RTPV_6,Clive,61,0.0
151,320_RTPV_5,Clive,61,0.0
152,118_RTPV_2,Astor,36,0.0
153,320_RTPV_4,Clive,61,0.0
154,313_RTPV_11,Cecil,54,0.0
155,118_RTPV_7,Astor,36,0.0
156,118_RTPV_3,Astor,36,0.0
157,313_RTPV_13,Cecil,54,0.0
158,313_RTPV_12,Cecil,54,0.0
159,118_RTPV_8,Astor,36,0.0
160,313_RTPV_3,Cecil,54,0.0
161,118_RTPV_10,Astor,36,0.0
162,313_RTPV_10,Cecil,54,0.0
163,118_RTPV_5,Astor,36,0.0
164,118_RTPV_1,Astor,36,0.0
165,118_RTPV_9,Astor,36,0.0
166,118_RTPV_6,Astor,36,0.0
167,313_RTPV_8,Cecil,54,0.0
168,118_RTPV_4,Astor,36,0.0
169,STEAM30,Carrel,25,0.0
170,STEAM30,Cabot,64,0.0
171,STEAM30,Caine,40,0.0
172,CT36,Chase,23,0.0
173,CT36,Carrel,25,200.0
174,CT36,Cabell,11,0.0
175,CT26,Baffin,72,0.0
176,CT26,Bach,19,0.0
177,CT26,Barlow,39,0.0
178,STEAM29,Baker,68,0.0
179,STEAM29,Baffin,72,0.0
180,STEAM29,Barlow,39,0.0
181,CT35,Baffin,72,0.0
182,CT35,Bain,22,0.0
183,CT35,Banks,42,0.0
184,NUCLEAR42,Carter,60,0.0
185,NUCLEAR42,Cabell,11,0.0
186,NUCLEAR42,Camus,46,0.0
187,CC33,Carter,60,0.0
188,CC33,Caine,40,200.0
189,CC33,Camus,46,200.0
190,NUCLEAR41,Bach,19,0.0
191,NUCLEAR41,Banks,42,0.0
192,NUCLEAR41,Balch,59,0.0
193,STEAM38,Bach,19,0.0
194,STEAM38,Barlow,39,0.0
195,STEAM38,Banks,42,0.0
196,CT27,Cabot,64,0.0
197,CT27,Cabell,11,0.0
198,CT27,Camus,46,0.0
199,STEAM37,Alder,13,0.0
200,STEAM37,Avery,28,0.0
201,STEAM37,Aiken,37,0.0
202,CC32,Bain,22,0.0
203,CC32,Barlow,39,0.0
204,CC32,Banks,42,200.0
205,STEAM39,Carrel,25,0.0
206,STEAM39,Carter,60,0.0
207,STEAM39,Caine,40,0.0
208,NUCLEAR40,Alber,49,0.0
209,NUCLEAR40,Alder,13,0.0
210,NUCLEAR40,Aiken,37,0.0
211,STEAM28,Alder,13,0.0
212,STEAM28,Avery,28,0.0
213,STEAM28,Aiken,37,0.0
214,CT25,Alber,49,0.0
215,CT25,Alder,13,0.0
216,CT25,Aiken,37,0.0
217,CT34,Alber,49,200.0
218,CT34,Alder,13,0.0
219,CT34,Avery,28,0.0
220,CC31,Alder,13,0.0
221,CC31,Avery,28,0.0
222,CC31,Aiken,37,0.0
223,CSP14,Baker,68,0.0
224,CSP14,Barlow,39,0.0
225,CSP14,Banks,42,0.0
226,RTPV20,Barlow,39,0.0
227,RTPV20,Banks,42,0.0
228,RTPV20,Balch,59,0.0
229,WIND16,Alder,13,0.0
230,WIND16,Avery,28,0.0
231,WIND16,Aiken,37,0.0
232,CSP15,Chase,23,0.0
233,CSP15,Cabot,64,0.0
234,CSP15,Camus,46,0.0
235,WIND18,Cabot,64,0.0
236,WIND18,Cabell,11,200.0
237,WIND18,Caine,40,0.0
238,PV12,Carrel,25,0.0
239,PV12,Carter,60,0.0
240,PV12,Camus,46,0.0
241,PV11,Baffin,72,0.0
242,PV11,Bain,22,0.0
243,PV11,Banks,42,0.0
244,RTPV21,Carrel,25,0.0
245,RTPV21,Cabell,11,0.0
246,RTPV21,Caine,40,0.0
247,RTPV19,Alber,49,0.0
248,RTPV19,Avery,28,0.0
249,RTPV19,Aiken,37,0.0
250,WIND17,Baffin,72,200.0
251,WIND17,Bach,19,600.0
252,WIND17,Balch,59,0.0
253,PV10,Alber,49,0.0
254,PV10,Alder,13,0.0
255,PV10,Aiken,37,0.0
256,CSP13,Alber,49,0.0
257,CSP13,Alder,13,0.0
258,CSP13,Avery,28,0.0
