UBs,LBs,cpu_time
3.361351369471606e8,3.3568777374456984e8,2120.476000070572
3.361351369471606e8,3.3568777374456984e8,2145.742000102997
3.361351369471606e8,3.3568777374456984e8,2170.922000169754
3.361351369471606e8,3.3568777374456984e8,2195.9120001792908
3.361351369471606e8,3.3568777374456984e8,2220.0099999904633
3.361351369471606e8,3.3568777374456984e8,2242.948000192642
3.361351369471606e8,3.3568777374456984e8,2273.5060000419617
3.361351369471606e8,3.357659999912225e8,2297.3280000686646
3.361351369471606e8,3.3576618891437817e8,2320.880000114441
3.361351369471606e8,3.3576935718843716e8,2343.9950001239777
3.361351369471606e8,3.3577741515516984e8,2373.2590000629425
3.361351369471606e8,3.357774151814738e8,2396.138000011444
3.361351369471606e8,3.357774151814738e8,2417.6500000953674
3.361351369471606e8,3.357774151814738e8,2451.8180000782013
3.361351369471606e8,3.3577745221427107e8,2477.8450000286102
3.361351369471606e8,3.3578411843391633e8,2498.561000108719
3.361351369471606e8,3.3579622678863895e8,2528.7599999904633
3.361351369471606e8,3.357962545874706e8,2551.212000131607
3.361351369471606e8,3.357962545881846e8,2574.1520001888275
3.361351369471606e8,3.357962574382541e8,2596.101000070572
3.361351369471606e8,3.358074211602742e8,2625.770000219345
