Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,
,,,,,,,,11,43.69965381,39.2487633,72.83275635,29.94235494,28.72847634,55.02919317,50.57830267,69.19111824,70.80962419,78.9021528,0,0,107.2260018,78.49752545,128.2665757,40.4626419,0,134.7405984,73.23738255,51.79218242,0,0,0,0,0,
,,,,,,,,12,42.79119267,38.43283061,71.31865444,29.31989083,28.13124725,53.88520508,49.52684302,67.75272144,69.33758068,77.26187574,0,0,104.9969073,76.86566009,125.6000741,39.62147419,0,131.9395099,71.71486897,50.71548773,0,0,0,0,0,
,,,,,,,,13,41.97624956,37.70089096,69.96041593,28.7615039,27.59549761,52.85898044,48.58362184,66.46239486,68.01707102,75.79045069,0,0,102.9972784,75.40178082,123.2080651,38.86689725,0,129.4267686,70.3490847,49.74962923,0,0,0,0,0,
,,,,,,,,14,41.45522035,37.23292954,69.09203391,28.4045024,27.25296914,52.20286958,47.98057877,65.63743194,67.17281071,74.84970349,0,0,101.7188271,74.46585798,121.6787479,38.3844628,0,127.8202619,69.47587833,49.13211312,0,0,0,0,0,
,,,,,,,,15,41.21474535,37.01694736,68.69124224,28.2397325,27.0948791,51.90004921,47.70225123,65.25667986,66.78315215,74.41551252,0,0,101.1287727,74.03389363,120.9729093,38.16180076,0,127.0787973,69.07286005,48.84710572,0,0,0,0,0,
,,,,,,,,16,41.36170231,37.14893649,68.93617052,28.34042523,27.19148969,52.08510613,47.8723403,65.48936172,67.02127686,74.68085149,0,0,101.4893616,74.29787188,121.4042552,38.29787203,0,127.5319146,69.31914903,49.02127693,0,0,0,0,0,
,,,,,,,,17,44.35428024,39.83671482,73.92380039,30.39089526,29.1588326,55.85353755,51.33597214,70.22761008,71.87036146,80.08411719,0,0,108.8322611,79.67342847,130.1880255,41.06877748,0,136.7590298,74.33448794,52.56803596,0,0,0,0,0,
,,,,,,,,18,48.50915409,43.56840709,80.84859015,33.23775323,31.89027747,61.08560088,56.14485388,76.80616032,78.60279594,87.58597277,0,0,119.0270904,87.1368129,142.3833496,44.91588285,0,149.5698908,81.29774873,57.49233091,0,0,0,0,0,
,,,,,,,,19,47.97476516,43.08844666,79.95794193,32.87159786,31.53896623,60.41266668,55.52634818,75.96004452,77.73688796,86.62110387,0,0,117.7158583,86.17689206,140.8148192,44.42107829,0,147.9221916,80.40215248,56.85898107,0,0,0,0,0,
,,,,,,,,20,47.18654152,42.38050506,78.64423586,32.3315187,31.02078217,59.42008877,54.6140523,74.71202376,76.45967372,85.19792229,0,0,115.781791,84.76100887,138.5012368,43.69124159,0,145.4918354,79.08114804,55.92479009,0,0,0,0,0,
,,,,,,,,21,45.65017338,41.00061885,76.0836223,31.27882203,30.01076236,57.48540298,52.83584845,72.27944088,73.97018831,82.42392425,0,0,112.0119989,82.00123649,133.9917118,42.26867852,0,140.7547003,76.50630885,54.10390932,0,0,0,0,0,
,,,,,,,,22,42.35032181,38.03686326,70.58386968,29.01781266,27.84141548,53.33003438,49.01657583,67.05467592,68.62320661,76.46585892,0,0,103.9151409,76.07372541,124.3060365,39.21326044,0,130.5801581,70.97600208,50.19297412,0,0,0,0,0,
,,,,,,,,23,39.07718967,35.09710568,65.12864945,26.77511104,25.68963415,49.20831246,45.22822847,61.87221672,63.31952027,70.55603699,0,0,95.88384448,70.19421033,114.6987875,36.18258257,0,120.4880007,65.49047508,46.31370639,0,0,0,0,0,
,,,,,,,,24,37.55418125,33.72921849,62.59030209,25.73156825,24.68839713,47.29045003,43.46548726,59.46078674,60.85168256,67.80616068,0,0,92.14683311,67.45843598,110.2284758,34.77238961,0,115.7920581,62.9380258,44.50865937,0,0,0,0,0,
,,,,,,,,25,36.79267704,33.04527489,61.32112841,25.20979686,24.18777862,46.33151881,42.58411665,58.25507174,59.6177637,66.43122252,0,0,90.27832742,66.0905488,107.99332,34.06729313,0,113.4440868,61.66180115,43.60613586,0,0,0,0,0,
,,,,,,,,26,36.69915898,32.96128181,61.16526497,25.14571967,24.12629915,46.21375533,42.47587816,58.10700148,59.46622981,66.26237047,0,0,90.04886181,65.92256266,107.7188271,33.98070233,0,113.1557395,61.50507181,43.49529964,0,0,0,0,0,
,,,,,,,,27,37.0598715,33.2852551,61.76645251,25.39287454,24.36343423,46.6679859,42.8933695,58.67812964,60.05071769,66.91365697,0,0,90.93394345,66.57050922,108.7775852,34.3146954,0,114.2679364,62.10959928,43.92281078,0,0,0,0,0,
,,,,,,,,28,38.32904517,34.42516108,63.88174195,26.26249352,25.19779841,48.26620458,44.36232049,60.6876546,62.10724909,69.20522053,0,0,94.04811956,68.85032115,112.5028449,35.48985619,0,118.1812218,64.23664032,45.42701661,0,0,0,0,0,
,,,,,,,,29,41.60217731,37.36491866,69.33696218,28.50519514,27.34957974,52.3879265,48.15066785,65.8701138,67.41093543,75.11504246,0,0,102.079416,74.72983623,122.1100938,38.52053406,0,128.2733792,69.72216732,49.30628434,0,0,0,0,0,
,,,,,,,,30,46.27808034,41.56457233,77.1301339,31.70905457,30.42355305,58.27610063,53.56259261,73.2736269,74.98763015,83.55764516,0,0,113.5526965,83.12914343,135.834735,42.85007385,0,142.6907468,77.55863441,54.84809535,0,0,0,0,0,
,,,,,,,,31,48.2820388,43.36442392,80.47006467,33.0821372,31.7409702,60.79960385,55.88198897,76.44656112,78.23478506,87.1759035,0,0,118.4698168,86.72884656,141.7167242,44.70559092,0,148.8696187,80.91712034,57.22315724,0,0,0,0,0,
,,,,,,,,32,46.41167759,41.68456245,77.35279599,31.80059343,30.51138088,58.4443342,53.71721906,73.48515588,75.20410717,83.79886242,0,0,113.8805046,83.36912368,136.2268677,42.973775,0,143.1026717,77.7825335,55.00643284,0,0,0,0,0,
,,,,,,,,33,44.51459691,39.98070295,74.19099486,30.50074187,29.26422598,56.05541781,51.52152385,70.48144482,72.13013386,80.37357786,0,0,109.2256307,79.96140472,130.6585846,41.21721884,0,137.2533396,74.60316682,52.75804092,0,0,0,0,0,
,,,,,,,,34,43.59277602,39.15277122,72.6546267,29.86912386,28.65821409,54.89460633,50.45460153,69.02189508,70.6364426,78.70917902,0,0,106.9637554,78.30554128,127.9528696,40.36368099,0,134.4110585,73.05826329,51.66551245,0,0,0,0,0,
,,,,,,,,35,42.7644732,38.40883257,71.274122,29.30158305,28.11368168,53.85155834,49.49591771,67.71041562,69.29428525,77.21363226,0,0,104.9313457,76.81766401,125.5216475,39.59673394,0,131.8571249,71.67008913,50.68382022,0,0,0,0,0,
,,,,,,,,36,42.47055931,38.14485435,70.78426552,29.10019761,27.9204605,53.48144456,49.1557396,67.24505196,68.81803589,76.6829544,0,0,104.2101681,76.28970758,124.6589558,39.32459146,0,130.9508904,71.17751122,50.33547782,0,0,0,0,0,
,,,,,,,,37,42.16328567,37.8688771,70.27214278,28.88965826,27.71845653,53.09450738,48.80009881,66.75853536,68.32013878,76.12815477,0,0,103.4562096,75.73775308,123.7570507,39.04007883,0,130.0034633,70.66254335,49.97130165,0,0,0,0,0,
,,,,,,,,38,41.74913428,37.49690779,69.58189046,28.60588787,27.44619034,52.57298341,48.32075693,66.10279566,67.64906014,75.38038142,0,0,102.4400048,74.99381448,122.5414397,38.65660532,0,128.7264965,69.9684563,49.48045556,0,0,0,0,0,
,,,,,,,,39,41.6556162,37.41291471,69.42602701,28.54181067,27.38471087,52.45521992,48.21251842,65.95472538,67.49752622,75.21152935,0,0,102.2105392,74.82582831,122.2669469,38.57001451,0,128.4381491,69.81172694,49.36961933,0,0,0,0,0,
,,,,,,,,40,41.73577456,37.48490879,69.55962427,28.59673399,27.43740756,52.55616007,48.30529429,66.08164278,67.62741245,75.35625972,0,0,102.407224,74.96981647,122.5022265,38.64423522,0,128.6853041,69.94606641,49.46462182,0,0,0,0,0,
,,,,,,,,41,44.07372606,39.5847356,73.4562101,30.1986637,28.97439421,55.50024711,51.01125666,69.7833993,71.41575978,79.57756103,0,0,108.1438642,79.16947004,129.364547,40.80900509,0,135.8939878,73.86429993,52.23552731,0,0,0,0,0,
,,,,,,,,42,47.94804573,43.06444866,79.91340955,32.8532901,31.52140068,60.37901999,55.49542291,75.91773876,77.69359259,86.57286046,0,0,117.6502967,86.12889605,140.7363927,44.39633808,0,147.8398067,80.35737269,56.8273136,0,0,0,0,0,
,,,,,,,,43,47.60069291,42.75247436,79.33448818,32.6152891,31.29304836,59.94161274,55.09339419,75.36776346,77.13075237,85.94569564,0,0,116.7979958,85.50494747,139.7168478,44.0747151,0,146.7688022,79.7752351,56.41563618,0,0,0,0,0,
,,,,,,,,44,46.34487898,41.62456741,77.24146497,31.75482401,30.46746698,58.36021744,53.63990586,73.37939142,75.09586869,83.67825382,0,0,113.7166006,83.24913359,136.0308014,42.91192444,0,142.8967093,77.67058399,54.92726412,0,0,0,0,0,
,,,,,,,,45,44.56803581,40.02869899,74.28005968,30.53735741,29.2993571,56.12271123,51.58337442,70.5660564,72.21672465,80.47006475,0,0,109.3567539,80.0573968,130.8154377,41.2666993,0,137.4181095,74.69272645,52.8213759,0,0,0,0,0,
,,,,,,,,46,41.48193981,37.25692757,69.13656635,28.42281019,27.27053472,52.23651631,48.01150408,65.67973776,67.21610614,74.89794697,0,0,101.7843888,74.51385405,121.7571745,38.40920304,0,127.9026469,69.52065817,49.16378064,0,0,0,0,0,
,,,,,,,,47,38.24888685,34.35316703,63.74814475,26.20757023,25.14510174,48.16526447,44.26954466,60.56073726,61.97736292,69.06049023,0,0,93.85143479,68.70633306,112.2675654,35.41563552,0,117.934067,64.10230091,45.33201416,0,0,0,0,0,
,,,,,,,,48,36.52548259,32.80529468,60.87580431,25.02671918,24.012123,45.99505172,42.27486381,57.83201386,59.18480972,65.94878809,0,0,89.6227114,65.6105884,107.2090548,33.81989086,0,112.6202373,61.21400304,43.28946095,0,0,0,0,0,
,,,,,,,,49,35.9510145,32.28933723,59.9183575,24.63310216,23.63446342,45.27164747,41.60997019,56.92243939,58.25395865,64.91155404,0,0,88.21313693,64.57867351,105.5228845,33.28797597,0,110.8489607,60.25123708,42.60860988,0,0,0,0,0,
,,,,,,,,50,35.34982697,31.74938176,58.91637828,24.22117737,23.23923828,44.51459651,40.9141513,55.97055913,57.27981219,63.82607655,0,0,86.73800086,63.49876258,103.7582878,32.73132085,0,108.9952991,59.24369131,41.89609132,0,0,0,0,0,
,,,,,,,,51,35.6571006,32.025359,59.42850099,24.43171671,23.44124224,44.90153367,41.26979207,56.45707571,57.77770927,64.38087615,0,0,87.4919593,64.05071706,104.6601928,33.01583347,0,109.9427261,59.75865915,42.26026748,0,0,0,0,0,
,,,,,,,,52,36.79267704,33.04527489,61.32112841,25.20979686,24.18777862,46.33151881,42.58411665,58.25507174,59.6177637,66.43122252,0,0,90.27832742,66.0905488,107.99332,34.06729313,0,113.4440868,61.66180115,43.60613586,0,0,0,0,0,
,,,,,,,,53,39.77189528,35.72105424,66.28649213,27.25111302,26.14633877,50.08312692,46.03228588,62.97216726,64.44520065,71.81036656,0,0,97.58844619,71.44210743,116.7378771,36.82582849,0,122.6300097,66.65475021,47.13706119,0,0,0,0,0,
,,,,,,,,54,44.56803581,40.02869899,74.28005968,30.53735741,29.2993571,56.12271123,51.58337442,70.5660564,72.21672465,80.47006475,0,0,109.3567539,80.0573968,130.8154377,41.2666993,0,137.4181095,74.69272645,52.8213759,0,0,0,0,0,
,,,,,,,,55,46.67887206,41.92454267,77.79812009,31.98367111,30.6870365,58.7808013,54.02647191,73.90821378,75.63706117,84.28129687,0,0,114.5361206,83.8490841,137.0111329,43.22117728,0,143.9265212,78.23033163,55.32310776,0,0,0,0,0,
,,,,,,,,56,45.6100942,40.96462181,76.01682366,31.25136037,29.98441401,57.4349329,52.78946051,72.21598218,73.9052452,82.35155907,0,0,111.9136564,81.92924241,133.874072,42.23156817,0,140.6311229,76.43913912,54.05640807,0,0,0,0,0,
,,,,,,,,57,44.14052466,39.64473065,73.56754111,30.24443311,29.01830811,55.58436387,51.08856986,69.88916376,71.52399827,79.69816963,0,0,108.3077682,79.28946013,129.5606133,40.87085565,0,136.0999502,73.97624944,52.31469603,0,0,0,0,0,
,,,,,,,,58,43.55269688,39.11677421,72.58782813,29.84166223,28.63186577,54.8441363,50.40821363,68.95843644,70.57149954,78.63681391,0,0,106.865413,78.23354727,127.8352299,40.32657067,0,134.2874812,72.99109362,51.61801125,0,0,0,0,0,
,,,,,,,,59,43.16526492,38.76880291,71.94210819,29.57619959,28.37716512,54.35625902,49.95979701,68.3450025,69.94371627,77.93728397,0,0,105.9147698,77.53760468,126.6980454,39.96783738,0,133.0928993,72.34178635,51.15883262,0,0,0,0,0,
,,,,,,,,60,42.68431488,38.33683852,71.1405248,29.24665976,28.060985,53.75061824,49.40314188,67.58349828,69.16439908,77.06890196,0,0,104.7346609,76.67367592,125.286368,39.52251328,0,131.60997,71.53574972,50.58881776,0,0,0,0,0,
,,,,,,,,61,42.32360234,38.01286522,70.53933724,28.99950488,27.82384991,53.29638764,48.98565052,67.0123701,68.57991118,76.41761544,0,0,103.8495792,76.02572933,124.2276099,39.18852019,0,130.4977731,70.93122223,50.16130661,0,0,0,0,0,
,,,,,,,,62,42.06976763,37.78488405,70.11627939,28.82558109,27.65697709,52.97674393,48.69186035,66.61046514,68.16860493,75.95930276,0,0,103.2267441,75.56976698,123.482558,38.95348805,0,129.715116,70.50581406,49.86046547,0,0,0,0,0,
,,,,,,,,63,41.78921342,37.5329048,69.64868903,28.6333495,27.47253866,52.62345344,48.36714482,66.1662543,67.71400319,75.45274654,0,0,102.5383472,75.06580849,122.6590794,38.69371564,0,128.8500739,70.03562597,49.52795676,0,0,0,0,0,
,,,,,,,,64,41.68233567,37.43691274,69.47055945,28.56011846,27.40227644,52.48886665,48.24344372,65.9970312,67.54082165,75.25977283,0,0,102.2761008,74.87382439,122.3453734,38.59475476,0,128.5205342,69.85650679,49.40128684,0,0,0,0,0,
,,,,,,,,65,43.25878295,38.85279596,72.09797158,29.64027676,28.43864457,54.47402247,50.06803547,68.49307272,70.09525012,78.10613598,0,0,106.1442353,77.70559077,126.9725381,40.05442815,0,133.3812466,72.49851565,51.26966881,0,0,0,0,0,
,,,,,,,,66,46.77239009,42.00853571,77.95398348,32.04774829,30.74851595,58.89856475,54.13471037,74.056284,75.78859502,84.45014888,0,0,114.7655861,84.0170702,137.2856257,43.30776805,0,144.2148685,78.38706093,55.43394395,0,0,0,0,0,
,,,,,,,,67,45.71697198,41.06061389,76.19495331,31.32459145,30.05467626,57.56951974,52.91316165,72.38520534,74.07842679,82.54453285,0,0,112.1759028,82.12122658,134.1877781,42.33052908,0,140.9606627,76.61825837,54.18307804,0,0,0,0,0,
,,,,,,,,68,44.20732331,39.70472573,73.67887218,30.29020255,29.06222203,55.66848068,51.1658831,69.99492828,71.63223681,79.81877829,0,0,108.4716723,79.40945029,129.7566797,40.93270625,0,136.3059127,74.08819902,52.39386479,0,0,0,0,0,
,,,,,,,,69,43.19198434,38.79280091,71.98664057,29.59450735,28.39473067,54.3899057,49.99072227,68.38730826,69.98701164,77.98552738,0,0,105.9803314,77.58560068,126.7764718,39.99257759,0,133.1752842,72.38656613,51.19050009,0,0,0,0,0,
,,,,,,,,70,41.13458703,36.94495331,68.55764504,28.18480921,27.04218242,51.79910911,47.60947539,65.12976252,66.65326598,74.27078222,0,0,100.932088,73.88990554,120.7376297,38.0875801,0,126.8316425,68.93852064,48.75210326,0,0,0,0,0,
,,,,,,,,71,38.44928271,34.5331522,64.08213785,26.3448785,25.27684346,48.41761481,44.50148431,60.8780307,62.30207843,69.42231608,0,0,94.34314685,69.06630339,112.8557643,35.60118724,0,118.5519543,64.43814953,45.56952036,0,0,0,0,0,
,,,,,,,,72,36.65907982,32.92528478,61.09846636,25.11825802,24.09995081,46.16328526,42.42949023,58.0435428,59.40128671,66.1900053,0,0,89.95051941,65.8505686,107.6011874,33.94359199,0,113.032162,61.4379021,43.44779841,0,0,0,0,0,
,,,,,,,,73,35.91093533,32.2533402,59.85155889,24.60564051,23.60811508,45.2211774,41.56358227,56.8589807,58.18901556,64.83918887,0,0,88.11479453,64.50667945,105.4052448,33.25086563,0,110.7253832,60.18406736,42.56110865,0,0,0,0,0,
,,,,,,,,74,35.40326586,31.7973778,59.00544309,24.25779291,23.2743694,44.58188992,40.97600186,56.05517071,57.36640298,63.92256343,0,0,86.86912406,63.59475466,103.9151409,32.7808013,0,109.160069,59.33325093,41.9594263,0,0,0,0,0,
,,,,,,,,75,35.68382004,32.04935702,59.4730334,24.45002447,23.4588078,44.93518037,41.30071735,56.49938149,57.82100467,64.42911959,0,0,87.55752089,64.09871309,104.7386193,33.04057369,0,110.0251111,59.80343896,42.29193496,0,0,0,0,0,
,,,,,,,,76,36.15141035,32.46932239,60.25235058,24.77041042,23.76620513,45.52399779,41.84190983,57.23973281,58.57867414,65.27337987,0,0,88.70484895,64.93864382,106.1110835,33.47352767,0,111.4668478,60.58708567,42.84611607,0,0,0,0,0,
,,,,,,,,77,37.84809516,33.99319672,63.0801586,25.9329537,24.88161831,47.66056383,43.80566539,59.92615042,61.32793195,68.33683857,0,0,92.86801075,67.98639244,111.0911676,35.04453211,0,116.6982927,63.43060373,44.85700178,0,0,0,0,0,
,,,,,,,,78,40.26620503,36.16501763,67.11034171,27.58980673,26.47130166,50.70559104,46.60440364,63.75482436,65.24616552,72.70287028,0,0,98.80133585,72.33003419,118.1887678,37.2835227,0,124.1541314,67.48317674,47.72290978,0,0,0,0,0,
,,,,,,,,79,42.4037607,38.08485931,70.6729345,29.05442819,27.87654661,53.3973278,49.0784264,67.1392875,68.7097974,76.56234581,0,0,104.0462641,76.16971749,124.4628895,39.26274089,0,130.744928,71.0655617,50.25630911,0,0,0,0,0,
,,,,,,,,80,43.31222184,38.900792,72.18703641,29.6768923,28.47377569,54.54131589,50.12988604,68.5776843,70.18184092,78.20262287,0,0,106.2753586,77.80158286,127.1293912,40.10390861,0,133.5460165,72.58807527,51.33300379,0,0,0,0,0,
,,,,,,,,81,43.08510656,38.69680883,71.80851093,29.52127627,28.32446842,54.25531886,49.86702113,68.2180851,69.81383004,77.7925536,0,0,105.7180849,77.39361652,126.4627657,39.89361668,0,132.8457444,72.20744688,51.06383012,0,0,0,0,0,
,,,,,,,,82,42.53735792,38.2048494,70.89559653,29.14596702,27.9643744,53.56556132,49.2330528,67.35081642,68.92627437,76.803563,0,0,104.3740721,76.40969767,124.8550221,39.38644202,0,131.1568527,71.28946073,50.41464654,0,0,0,0,0,
,,,,,,,,83,41.90945095,37.64089592,69.84908492,28.71573448,27.55158371,52.77486367,48.50630864,66.3566304,67.90883253,75.66984209,0,0,102.8333744,75.28179073,123.0119989,38.80504669,0,129.2208063,70.23713518,49.67046051,0,0,0,0,0,
,,,,,,,,84,41.05442867,36.87295923,68.42404778,28.12988589,26.98948572,51.69816895,47.51669952,65.00284512,66.52337976,74.12605185,0,0,100.7354031,73.74591738,120.5023501,38.0133594,0,126.5844876,68.80418117,48.65710076,0,0,0,0,0,
,,,,,,,,85,40.21276613,36.11702158,67.02127689,27.5531912,26.43617054,50.63829762,46.54255307,63.67021278,65.15957472,72.60638339,0,0,98.67021264,72.2340421,118.0319147,37.23404224,0,123.9893615,67.39361711,47.6595748,0,0,0,0,0,
,,,,,,,,86,39.35774385,35.3490849,65.59623975,26.9673426,25.87407255,49.5616029,45.55294395,62.3164275,63.77412195,71.06259315,0,0,96.5722413,70.69816875,115.522266,36.44235495,0,121.3530428,65.9606631,46.64621505,0,0,0,0,0,
,,,,,,,,87,39.21078692,35.2170958,65.35131154,26.8666499,25.77746197,49.37654603,45.38285492,62.0837457,63.5359973,70.79725425,0,0,96.21165255,70.43419057,115.0909202,36.30628373,0,120.8999256,65.71437418,46.47204387,0,0,0,0,0,
,,,,,,,,88,39.6115786,35.57706611,66.01929766,27.14126641,26.04094539,49.88124666,45.84673417,62.71833252,64.18542826,71.52090589,0,0,97.19507657,71.15413117,116.267318,36.67738713,0,122.1356999,66.38607134,46.94705623,0,0,0,0,0,
,,,,,,,,89,42.19000513,37.89287513,70.31667522,28.90796605,27.73602211,53.12815412,48.83102412,66.80084118,68.36343421,76.17639825,0,0,103.5217713,75.78574915,123.8354773,39.06481907,0,130.0858483,70.7073232,50.00296917,0,0,0,0,0,
,,,,,,,,90,45.7303317,41.0726129,76.2172195,31.33374532,30.06345904,57.58634308,52.92862428,72.40635822,74.10007448,82.56865456,0,0,112.2086836,82.14522459,134.2269913,42.34289918,0,141.0018552,76.64064826,54.19891178,0,0,0,0,0,
,,,,,,,,91,44.78179138,40.22068316,74.63631896,30.68381956,29.4398816,56.39188491,51.8307767,70.90450272,72.56308785,80.85601231,0,0,109.8812467,80.44136514,131.4428499,41.46462112,0,138.0771892,75.05096495,53.07471584,0,0,0,0,0,
,,,,,,,,92,43.69965381,39.2487633,72.83275635,29.94235494,28.72847634,55.02919317,50.57830267,69.19111824,70.80962419,78.9021528,0,0,107.2260018,78.49752545,128.2665757,40.4626419,0,134.7405984,73.23738255,51.79218242,0,0,0,0,0,
,,,,,,,,93,42.14992595,37.85687809,70.24987659,28.88050439,27.70967376,53.07768404,48.78463618,66.73738248,68.2984911,76.10403306,0,0,103.4234288,75.71375507,123.7178375,39.02770872,0,129.9622709,70.64015346,49.95546792,0,0,0,0,0,
,,,,,,,,94,39.99901056,35.92503741,66.6650176,27.40672905,26.29564604,50.36912394,46.29515079,63.33176646,64.81321153,72.22043583,0,0,98.1457198,71.85007377,117.4045026,37.03612042,0,123.3302818,67.03537861,47.40623486,0,0,0,0,0,
,,,,,,,,95,37.7545771,33.90920365,62.92429517,25.86887651,24.82013884,47.54280035,43.6974269,59.77808016,61.17639805,68.16798651,0,0,92.63854514,67.81840629,110.8166747,34.95794132,0,116.4099453,63.27387439,44.74616556,0,0,0,0,0,
,,,,,,,,96,36.49876314,32.78129666,60.8312719,25.00841141,23.99455744,45.96140501,42.24393853,57.78970807,59.14151432,65.90054464,0,0,89.55714979,65.56259235,107.1306282,33.79515063,0,112.5378523,61.16922323,43.25779346,0,0,0,0,0,
,,,,,,,,97,35.91093533,32.2533402,59.85155889,24.60564051,23.60811508,45.2211774,41.56358227,56.8589807,58.18901556,64.83918887,0,0,88.11479453,64.50667945,105.4052448,33.25086563,0,110.7253832,60.18406736,42.56110865,0,0,0,0,0,
,,,,,,,,98,35.68382004,32.04935702,59.4730334,24.45002447,23.4588078,44.93518037,41.30071735,56.49938149,57.82100467,64.42911959,0,0,87.55752089,64.09871309,104.7386193,33.04057369,0,110.0251111,59.80343896,42.29193496,0,0,0,0,0,
,,,,,,,,99,35.87085616,32.21734316,59.78476027,24.57817885,23.58176673,45.17070734,41.51719434,56.79552202,58.12407245,64.7668237,0,0,88.01645211,64.43468538,105.287605,33.21375528,0,110.6018058,60.11689764,42.51360741,0,0,0,0,0,
,,,,,,,,100,36.56556176,32.84129171,60.94260293,25.05418083,24.03847134,46.04552178,42.32125174,57.89547254,59.24975282,66.02115325,0,0,89.7210538,65.68258246,107.3266945,33.8570012,0,112.7438147,61.28117275,43.33696219,0,0,0,0,0,
,,,,,,,,101,37.88817433,34.02919375,63.14695721,25.96041535,24.90796665,47.7110339,43.85205332,59.9896091,61.39287504,68.40920373,0,0,92.96635315,68.0583865,111.2088073,35.08164245,0,116.8218701,63.49777345,44.90450302,0,0,0,0,0,
,,,,,,,,102,40.30628417,36.20101463,67.17714028,27.61726837,26.49764998,50.75606107,46.65079154,63.818283,65.31110858,72.77523539,0,0,98.89967818,72.4020282,118.3064075,37.32063302,0,124.2777087,67.55034641,47.77041098,0,0,0,0,0,
,,,,,,,,103,42.63087599,38.28884248,71.05145998,29.21004422,28.02585388,53.68332482,49.34129131,67.4988867,69.07780828,76.97241507,0,0,104.6035377,76.57768383,125.1295149,39.47303282,0,131.4452001,71.44619009,50.52548278,0,0,0,0,0,
